Date,YuukiIndex
2021-01-04,10000.0
2021-01-05,9899.38
2021-01-06,9722.65
2021-01-07,9898.49
2021-01-08,10202.95
2021-01-12,10217.84
2021-01-13,10172.74
2021-01-14,10196.51
2021-01-15,10015.45
2021-01-18,10015.51
2021-01-19,10143.82
2021-01-20,9947.01
2021-01-21,10018.63
2021-01-22,10087.75
2021-01-25,10128.38
2021-01-26,9921.4
2021-01-27,10127.91
2021-01-28,9942.38
2021-01-29,9774.28
2021-02-01,9981.61
2021-02-02,9943.74
2021-02-03,9934.8
2021-02-04,9821.15
2021-02-05,9913.42
2021-02-08,10075.98
2021-02-09,10169.82
2021-02-10,10153.74
2021-02-12,10208.58
2021-02-15,10453.17
2021-02-16,10553.31
2021-02-17,10478.37
2021-02-18,10574.98
2021-02-19,10414.3
2021-02-22,10307.84
2021-02-24,9945.46
2021-02-25,10122.51
2021-02-26,9636.96
2021-03-01,9800.99
2021-03-02,9739.01
2021-03-03,9680.63
2021-03-04,9421.56
2021-03-05,9549.99
2021-03-08,9330.47
2021-03-09,9222.33
2021-03-10,9213.06
2021-03-11,9220.76
2021-03-12,9439.06
2021-03-15,9429.79
2021-03-16,9505.02
2021-03-17,9583.64
2021-03-18,9744.78
2021-03-19,9688.95
2021-03-22,9304.41
2021-03-23,9262.6
2021-03-24,9092.82
2021-03-25,9297.01
2021-03-26,9327.96
2021-03-29,9472.72
2021-03-30,9535.45
2021-03-31,9371.12
2021-04-01,9514.89
2021-04-02,9738.96
2021-04-05,9700.82
2021-04-06,9557.06
2021-04-07,9467.66
2021-04-08,9564.2
2021-04-09,9561.44
2021-04-12,9466.79
2021-04-13,9564.93
2021-04-14,9566.52
2021-04-15,9526.85
2021-04-16,9598.03
2021-04-19,9579.69
2021-04-20,9348.57
2021-04-21,9198.49
2021-04-22,9469.0
2021-04-23,9396.28
2021-04-26,9453.12
2021-04-27,9346.25
2021-04-28,9425.43
2021-04-30,9489.72
2021-05-06,9655.4
2021-05-07,9623.41
2021-05-10,9584.53
2021-05-11,9360.99
2021-05-12,9258.3
2021-05-13,9127.08
2021-05-14,9239.99
2021-05-17,9231.47
2021-05-18,9391.47
2021-05-19,9262.45
2021-05-20,9285.94
2021-05-21,9398.09
2021-05-24,9369.42
2021-05-25,9404.83
2021-05-26,9448.65
2021-05-27,9483.85
2021-05-28,9679.99
2021-05-31,9559.74
2021-06-01,9556.84
2021-06-02,9507.94
2021-06-03,9500.26
2021-06-04,9465.48
2021-06-07,9457.7
2021-06-08,9384.52
2021-06-09,9291.4
2021-06-10,9299.67
2021-06-11,9312.49
2021-06-14,9475.56
2021-06-15,9579.97
2021-06-16,9521.1
2021-06-17,9502.52
2021-06-18,9569.91
2021-06-21,9292.99
2021-06-22,9583.18
2021-06-23,9599.62
2021-06-24,9485.17
2021-06-25,9513.48
2021-06-28,9562.11
2021-06-29,9595.63
2021-06-30,9559.91
2021-07-01,9593.23
2021-07-02,9653.26
2021-07-05,9577.04
2021-07-06,9634.93
2021-07-07,9678.53
2021-07-08,9631.29
2021-07-09,9504.49
2021-07-12,9779.75
2021-07-13,9821.04
2021-07-14,9810.41
2021-07-15,9686.62
2021-07-16,9619.98
2021-07-19,9444.93
2021-07-20,9362.32
2021-07-21,9422.6
2021-07-26,9584.08
2021-07-27,9664.94
2021-07-28,9491.75
2021-07-29,9610.23
2021-07-30,9741.21
2021-08-02,9948.84
2021-08-03,9935.22
2021-08-04,9983.25
2021-08-05,10040.59
2021-08-06,10011.82
2021-08-10,10108.69
2021-08-11,10306.92
2021-08-12,10278.9
2021-08-13,10317.1
2021-08-16,10103.62
2021-08-17,10079.51
2021-08-18,10089.63
2021-08-19,10043.29
2021-08-20,9966.02
2021-08-23,10292.29
2021-08-24,10417.76
2021-08-25,10383.46
2021-08-26,10344.3
2021-08-27,10267.02
2021-08-30,10343.79
2021-08-31,10483.39
2021-09-01,10602.6
2021-09-02,10624.47
2021-09-03,10822.17
2021-09-06,11005.85
2021-09-07,11294.85
2021-09-08,11312.92
2021-09-09,11247.01
2021-09-10,11398.76
2021-09-13,11505.57
2021-09-14,11544.01
2021-09-15,11512.98
2021-09-16,11284.75
2021-09-17,11303.28
2021-09-21,10988.69
